price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_elevation,km_from_cbd
2300000,0.5,0.5555555555555556,0.3333333333333333,0.46243739565943237,0.5810183331999039,0.47267924528301886,0.457351598173516,0.049586776859504134,0.09464196294441662
940000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4657762938230384,0.15130894243855575,0.6237735849056604,0.08684931506849314,0.7272727272727273,0.30936404606910367
695000,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.4574290484140234,0.2445360659674966,0.22052830188679245,1.0195433789954338,0.35537190082644626,0.2883324987481222
670000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.46243739565943237,0.08734288687855256,0.5864905660377359,0.1321461187214612,0.1487603305785124,0.49904857285928894
557000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46243739565943237,0.1011528300376271,0.42950943396226415,0.4452054794520548,0.2231404958677686,0.4382573860791187
558000,0.3333333333333333,0.4444444444444444,0.5,0.6419031719532554,0.08045792970939077,0.3333584905660377,0.09735159817351599,0.024793388429752067,0.6353530295443166
550000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5141903171953256,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.19834710743801653,0.4697045568352529
2015000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.48330550918196996,0.5810183331999039,0.47267924528301886,0.457351598173516,0.049586776859504134,0.09464196294441662
936000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5909849749582637,0.31810903850772554,0.49230188679245285,0.4942465753424658,0.7603305785123967,0.20490736104156237
712000,0.16666666666666666,0.3333333333333333,0.5,0.6310517529215359,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.20310465698547825
1180000,0.5,0.4444444444444444,0.3333333333333333,0.5993322203672788,0.31810903850772554,0.49230188679245285,0.4942465753424658,0.7603305785123967,0.20490736104156237
1670000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.666110183639399,0.1736850532383316,0.5747169811320755,0.34949771689497716,0.8677685950413223,0.18928392588883328
1600000,0.16666666666666666,0.4444444444444444,0.0,0.14607679465776294,0.5847009847089905,0.8072452830188679,0.23242009132420097,0.256198347107438,0.05167751627441161
828000,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4682804674457429,0.2445360659674966,0.22052830188679245,1.0195433789954338,0.35537190082644626,0.2883324987481222
580000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3168681450644464,0.38928301886792455,0.7481278538812786,0.08264462809917356,0.5332999499248874
1280000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.27796327212020033,0.5810183331999039,0.47267924528301886,0.457351598173516,0.049586776859504134,0.09464196294441662
930000,0.3333333333333333,0.4444444444444444,0.5,0.8998330550918197,0.40821391401809304,0.12437735849056604,0.2590867579908676,0.09090909090909091,0.23975963945918882
710000,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5308848080133556,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.20310465698547825
553000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6419031719532554,0.1011528300376271,0.42950943396226415,0.4452054794520548,0.2231404958677686,0.4382573860791187
1180000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.6118530884808013,0.31810903850772554,0.49230188679245285,0.4942465753424658,0.7603305785123967,0.20490736104156237
905000,0.3333333333333333,0.4444444444444444,0.16666666666666666,0.2303839732888147,0.49639740613241534,0.38143396226415094,0.42931506849315076,0.1487603305785124,0.2209313970956435
750000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.24040066777963273,0.3623008566167641,0.196,0.2629223744292238,0.3305785123966942,0.20310465698547825
1325000,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.6151919866444073,0.31810903850772554,0.49230188679245285,0.4942465753424658,0.7603305785123967,0.20490736104156237
1130000,0.16666666666666666,0.3333333333333333,0.0,0.7896494156928213,0.15162917300456327,0.48347169811320756,0.3305936073059361,0.03305785123966942,0.16935403104656988
1039000,0.5,0.5555555555555556,0.3333333333333333,0.4732888146911519,0.1021535505564006,0.21464150943396226,0.25963470319634707,0.04132231404958678,0.2323485227841763
977000,0.16666666666666666,0.2222222222222222,0.0,0.14023372287145242,0.32415339044111763,0.7336603773584905,0.11296803652968036,0.33884297520661155,0.0584877315973961
2300000,0.3333333333333333,0.4444444444444444,0.0,0.11018363939899833,0.3533344007685534,0.11456603773584906,0.046484018264840186,0.19008264462809918,0.01752628943415123
1500000,0.3333333333333333,0.4444444444444444,0.0,0.14607679465776294,0.5847009847089905,0.8072452830188679,0.23242009132420097,0.256198347107438,0.05167751627441161
1400000,0.3333333333333333,0.3333333333333333,0.5,0.327212020033389,0.4240653270354655,0.3961509433962264,0.21780821917808224,0.23140495867768596,0.08632949424136203
1265000,0.16666666666666666,0.3333333333333333,0.0,0.18196994991652754,0.5847009847089905,0.8072452830188679,0.23242009132420097,0.256198347107438,0.05167751627441161
510000,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.8639398998330551,0.3168681450644464,0.38928301886792455,0.7481278538812786,0.08264462809917356,0.5332999499248874
1720000,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.4257095158597663,0.5810183331999039,0.47267924528301886,0.457351598173516,0.049586776859504134,0.09464196294441662
1340000,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2262103505843072,0.6409414778640621,0.2048301886792453,0.21780821917808224,0.2727272727272727,0.09764646970455684
1300000,0.5,0.4444444444444444,0.3333333333333333,0.5792988313856428,0.3957649507645505,0.5590188679245283,0.4640182648401827,0.38016528925619836,0.28242363545317983
1180000,0.3333333333333333,0.3333333333333333,0.5,0.27796327212020033,0.27595869025698505,0.22150943396226416,0.17835616438356167,0.1487603305785124,0.07180771156735102
1110000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5158597662771286,0.24585701705227764,0.5011320754716981,0.34785388127853883,0.2727272727272727,0.22193289934902355
875000,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.46243739565943237,0.49639740613241534,0.38143396226415094,0.42931506849315076,0.1487603305785124,0.2209313970956435
865000,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.46243739565943237,0.49639740613241534,0.38143396226415094,0.42931506849315076,0.1487603305785124,0.2209313970956435
862000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.29465776293823037,0.49639740613241534,0.38143396226415094,0.42931506849315076,0.1487603305785124,0.2209313970956435
520000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5008347245409015,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.19834710743801653,0.4697045568352529
495000,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5208681135225376,0.288127451765271,0.30392452830188676,0.2710502283105023,0.06611570247933884,0.5996995493239861
730000,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.5191986644407346,0.2832039068129053,0.2911698113207547,0.9008219178082192,0.19834710743801653,0.4697045568352529
715000,0.5,0.5555555555555556,0.3333333333333333,0.6093489148580968,0.1011528300376271,0.42950943396226415,0.4452054794520548,0.2231404958677686,0.4382573860791187
453000,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.27378964941569284,0.288127451765271,0.30392452830188676,0.2710502283105023,0.06611570247933884,0.5996995493239861
2100000,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.34641068447412354,0.47762388920022414,0.8837735849056604,0.20639269406392696,0.256198347107438,0.05207811717576364
1415000,0.16666666666666666,0.2222222222222222,0.0,0.22537562604340566,0.1994636138019374,0.6355471698113208,0.08858447488584476,0.1652892561983471,0.06189283925888833
545000,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.5,0.3168681450644464,0.38928301886792455,0.7481278538812786,0.08264462809917356,0.5332999499248874
